quantidade de observações,dimensão,expoente fuzzy,Hullermeier 0,Hullermeier 1,Hullermeier 2,Média do Indice de Hullermeier
10,16,1.1,0.4447736644367945502915519588527891727144800188884526014904981697075056816609977591460589090721610864545752642687961763555814550181969324991900984080110814465198114447423455644137749044500944310048148300710284755113543779297722050509971617794748426174934942355363083230702696710171001495101973941121528368841884007792870537933520282326734192921763587528399226693799574374791391338840486039223750666216,0.4666723730090934448326229627250731900873021218807031039079946541475508509101293972956831719098100390286680165607706661931665036388384461223944613859479584302165519157260801901551789267330767137968942714714415591300665537639190955195044627762429363200013388326174249519986376550355308644598055514715530894858084045560756265569665009282266471825720217283589787912487783209974218618346512155321502586919,0.4666835982124009049685033841051410281392950680615868003435317832282127801609044802186501721836307976834489702319967620492697124874361906126900240988837486692353368007159540309254329401672932230134296553948829733860757406848602151962515468188437331121229443185685586104300553996501415980230808706345319563443632029811772864069602705621367541020036473472602710155229734438273979570181210551814356610674,0.4593765452194296333642261018943344636470257362769141685806748690277564375773438788867974177218673077222307503538545348660058903814905230780915279642809295153239000537281265951647955904501547892717129189791176693424988907928505052555843904581871706832059257955740972951663209085675908706643612720727459609047866694388466555857595999076789401922506759428197241587172364007679863175789402915453203287936
10,16,8.325,0.9296920813227675720660105836452367804151987521943360665406500565387059897863589624283967428345219651066613615395681686568626826387091227688157856705958143714582684416013210485148880878583290015222054494303166724745893479976989163738216936480566312185648521148383110169465008616747304624379977012241346105314819598858790376438093096366026495263179841243522747371956920786104069740564200109207984124913,0.843523798518932812394079525111914261614725808465400916246812710186740547619173718869146776099755679735135725742669093449581445408399754884259092987660812306623911820305170381745459598144597813795277771721884244854623207615369245194008652835456110337740798634677498997913102867965866182979029420652674897456614498377991968291136837143726662840099610918943106957512856756397505592755244550343425372338,0.9884326507663842876634912533226536506105674916275770522428973913419186847013592928817923199965843623153213236438746921426897675304820213107610539045997793080640574333599989467178134992215112213905064098347673878153017783416863741022021729658105746480598954337254622304480653539191311178475182558978548101837504605074110293705157364126164799802489303062140949142594206042813578104607419645190353817546,0.9205495102026948907078604540266015642134973507624380116767867193557884073689639913931119463102873357190394703087039847497112985258636329879453108542854686620487458984221634589927203950748126789026632103289894350481714446515848452233441731497744387347885153944137574151025563611865759210881817925915547727239489729237606784351539610643152641155555084498364922029893231464297567924241355085944197221946
10,16,15.55,0.9641047371484581949246413756397485357529068918730690745220521960123636780999062586121227899774240591323176474175400691347471535483523614210992205661558066261052148990402186028816715162808061757857482449080890440196576947899069274380135268449958009575441745859112686514170949010759456926817634628485499800081675793455488373980985437229804546813572480628234032390639827543357275943663029072990427009913,0.9653318193700315917582635331909741229706265353783422746644781754375769996328051311714861607707855813542253198724713832205584336554141298257624534548416227785393623212354622236591888099772176312945820543607210643379926569506579842626165685684086535398892760744539667122607196391751901143634567959693433679922641902200356808152040059349102658455081997543050346936502467649782320925734769458152719041915,0.9563474754590173507248721511379534441517334700947421261330566405876846116873224859426045655175489838348915266641345823815755483450659625321473171702964054515912511045904096486305064332727832126416444460656831263857637344458397418577563355870871944350714050070321129548577289442684435824459355691252499590148683511738337641552313122639084830367307603950983959240426986982208544784233543807922276130809,0.9619280106591690458025923533228920342917556324487178251065290040125417631400112919087378387552528747738114979847153449122937118496108179263363303970979449520786094416220301583904555865102690065739915817781644115811380287288015511861288103334972163108349518891324494395118478281731931298303852759810477690051000402464727607895112873072664011878654027374089446189189760725116047217877114113021807394212
10,16,22.775,0.9755381805408496575061555262161281097006392839691403947254899728912088754531432291160132105510379424761785438865160248904704131377912300610139995088719979557033132697360186844477159378562589365906987254632915923873107333023715091803500068096714073883140028341874698076244097235338723578169567414522972488339001009556369687449102576828995435916594115932823805678230027664920568315035382721933625819076,0.9779552042025070828915044558379760411711978464742986625870379927707461759739647502210695851072855431527475947388612631725184178018981003259555912634805496033656957509726415032233674553087028908461306323882578553952100834713351830294214423854910815065921992978324559265537894418756984846322264313427418775159990073719516149453696603366889967103941450053887331693351083341797271511545422997610796783545,0.9694960499237731931746893151617207753858773082018543993481532362660987354819919061106123350321274866381370344762380824266266682701161163453618189216590210099834812697309465488901579289806715675140336008688237562895674138075552990970077175904178527843466377539590787429544111039714804478456504277246910666008483295266030775343016800571930166393663762401772759496959150619823000962225710671265374473156,0.9743298115557099778574497657386083087525714795484311522202270673093512623030332951492317102301503240890210577005384568298718330699351489107771365646705228563508300968132022455204137740485444649836209862401244013573627435270873304355930555951934472264176132953263348257108700897936837634316112001732433976502491459513972204081938660255938523138066442796161298956180087208846946929602172130269932358592
10,16,30.0,0.9812417529763561536837895638876953536175004774747809048642973306117532821794521498797396308473229553524299549441751748286363123606612192088485800459580985669015426467903242031363132295228315913762687743823942501867027056570784539364048664507334932797002397909328822447750032179827506011267667246538722445797117634145081742787918198575617038071450942199822740065880980732041142859022016305116341173734,0.9836250421383983176782286950912465875752246994315391530143461827470011177001927008047281327423791621032588995041192210053579474758710707985972394213290363972831967140794522779979523087124550373122751144502958549681537830464612306762314813301375335519580289236783857101083677085363709587907827644214714076396735202555969531866634313154018314662022916897965552683104772121780977348332366316984270645688,0.9763030428905905581804818063018815859648765306201546434809402593712821714972832580612369650731613821734929035465981350245348107447389534061302789341120987441337886684438732128536231419776100277437823239308311933878805053321262901804842345831987078475224306837961257270573930842170281698654370188363017451926836810180132861695707419770059023280343781029123516901815802493815444122629079910293017302189,0.9803899460017816765141666884269411757192005691754915671198612575766788571256427029152349095542878332097272526649641769528430235270904144711920328004664112361061760097712165646626295600709655521441087375878404328475789980118886582643735274546899115597268997994691312273135880035787165765943288359705484658040229882293728045450086643833231458671272546708970603216933851782545854776661154177464543040537
30,4,1.1,0.4851992719693500454445205177207820886516943629748013988636762571086852354406590701680590588339543348851273052495836991271468519455673249440823691251583428276624103119898383713224065827286789556497199327336939076790443569088460071455495672383784131879836051540947174511239278289158100690234573457575839493343582461494811785499274525527660476313301208905511660985048602934317834126960160570431388528514,0.4854128686817031412301370709671774474990598210023588695539948290745801339020410514436770805150198481376136416971394729106392857905384636567422140506070096749964080535415005217382028088351576163849306883623858682301131134752724360220086912878429388044374921834312407022717657958646448573557469631293319440438617472987187131221650984904888822891190978972874847004046124157666063847056429253744731130339,0.4851781847306834169219046834230150365263284673567543793191678964897930038773057521035223876369335332825069685115350121113456907274878661017871888336650545625059095049856046943897506749783520406115259649499085859105506364454207356218342282350279519405057028562317722613695795362277174874475657045615616915716847315591549211971665135899111876456761673398630689203155921806692861161203946498710530312434,0.4852634417939122011988540907036581908923608837779715492456129942243527910733352912384195089953025721017493051527527280497106094878645515675372573364768023550549092901723145291501200221807295375487255286819961206065693689431797262631308289204164346443089333979192434715884243870027241379422566711494925283166349083357849376230863548777220391887084620425672399064083549632892253045073512107628883323762
30,4,8.325,0.8762467630206971349312791265263588551794847194710183715096283203467023268643000316484486491760186515300007765727313720426317982967487504726214748888440965593244189541662642857739658722842075172374744592437456503627109127219266309221821051230478345583598705566191963722612815183053278720100748481688147358756861205956524190220282471234724759551697872528063004139957734719293379593093752077849542409782,0.8999801995905789176194119535060137900902307520891786510719503416143419063496325855363329711436056308840308558103547829102136200082696271785841455142205560851400975742660948847975828565733916777431387501911995194961563495064791321052636678013291815519172940686369249339993631142216420691689500552156101900004855740186088269153623408453691366678296871900097952805414500935621614047676925614211256682741,0.8642286665234042507755307334594342057617649348303486549060096952440157019152405442083138920077015434199839039609028449676442845551235150334086728573514408207877751974446903411319305610406753069499414262676719625078301966099932597305976673027519303896077087385480107884457836155515259598091017649544888136170822019835520937587597995131034310562749540400723719995308827912494503323181131930842637736708,0.8801518763782267677754072711639356170104934687968485591625294524016866450430577204643651707757752752780051787813296666401632342867139642282047644201386978217507639086256831705678264299660915006435182119008723774555658196127996742526811467423763154999616244546013773649021427493594986336627088894463045798310846321992711132320501291606483478930914761609628225646893687855803165654650603207634478943077
30,4,15.55,0.9333651483820113408312197564115871319862300128979866885862280827425418153752586245460571066794021027301496733037624342288088065753851855924542251141134823524261093683804881664568701340621443822547631297969552060494835791029627273569852220052567415941734632636749798505718531747358740721418982309339081818571739768076220237695570548568399860709939755242082644111546006217102673226518423931816730268102,0.9345442095090673404771827366118707955510000492865774731296847758538913640361086073596625804494793007541244133815573895276638443322258643704248759620601904530102511673225332881627243344601490996106093632642205404907440008202382932161030042332216596431124680841626916546481674192414903088598821812702157087087889761284037890388554389569023421464302116330568161643257710810700643617029350020032690151394,0.9280960225739196631241293980849183185520434984590099725653586660381062476883815482230610019177932360506700212551244195495376945605240865049426838941098901158805492997485478552124209908172238420441107334156776285977134507432507650151456627646944282531603690065445217434653496657480973983346768864731621478882738375872146039277346256779587696734871044986665807940256920311401410048641475688349710273897,0.9320017934883327814775106303694587486964245202145247114270905082115131423665829267095935630155582131783147026468147477686701151560450454892739283234278543071056366118171897699440051531131724413031610754922844583793136768888172618627446296677242764968154334514607310828951234199084872597788190995590953461514122635077468055787157064972336992969704305519772204565020212446401575630729749880066376897798
30,4,22.775,0.9550272940421006390811876516861070333936296516818922717739782959565083667137766155018465826919963175306599075880342637078353215883994543951124141463426656315385775792906696684110125464509247614385729750973579639628351465357373859754893861513832196455249360052516538445419802264103793502039550453755768401262058091810893772098021811059965901682653047292335124829682201897862248328189364371788739212351,0.9549932963998874160406756894918803339994286805202088368309758929110230241823460257164906010911586474590199973544752284239085395223145602305573016311528623271656163353308235616096678595731204918581767775636430965333311210220919511806687251945147225688968056589875664373292028285019806372402120935571057847064022660395283962082145540787867948850975224771699749626473092382768207783095861595670264398714,0.9516674382350505087842479854942406544094208793068888947346088829018070614624228376383921164683516506616973038594268975716987064883067435768839402024372578908515078285820513295839769779773892731523006364863084773328291877934615978987993433295181863166614884589493589792139129712449024041472005053628445937617767723996921530850658841566316422087665749822118059159663022927238776555747286366766781377214,0.953896009559012854635370442224076007267493070502996667779854357256446150786181826285576433417168871883792402933978796567814189199673586067517885326644261949851900581067848186534885794667144842149683463049103179276331818450430311684985818225138709510361076707729526420361698675385754130530455881431842406198128282540103308834360873113805009087376467396205097787193943906928974422234417077807526166276
30,4,30.0,0.9711167179008099403175317506439140629899012116970131594059134899803462589266377930128004402619758523740127395204348519456586476206096809369001684976233597171964674230237979287070308770065856632503261094680321117626881664289080488751619772334470627643964554137042740099671979238692649804664081029261515840779691940693528378513897510021842276400879301288960495914534050296820689948161940818062039331457,0.9593941400980106802383985855059952050539208834091522323946803266612241306956983463475333047224187652175323828881902309877281968695081951180924263958123311087396189817874603755658482650089704976331122626548372361317517155407946398639595247155010278277268382657752408832766006181186366335352756885158739983363108466697447889536513757640152882351204921353346077730622184647381663493597576230870200637089,0.9640116146621893557055811833422540964645156648662348015187209934510218865830935873328551546259466591497248296906757231949044296108912182344980735409751791076479653306525841460872735206009749698203251507465442669796139585851998654091601355537519457744951298330072168958750863133215334452356687860605669986987564375937027763900531040081195945739810186785121083913521462850583001740365419565952995299408,0.9648408242203366587538371731640544548361125866574667311064382700308640920684765755643962998701137589137566506997669353760970913670030314298302228114702899778613505784879474834533842208721770435679211742898045382913512801849675180494272125009000121222061411708289105963729616184364783530791175258341975270376788261109334677316980769247730368163964803142475885852892565931595118394041645538295078422651
