iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
15,2,4.177248169415656,10,9,0.030800341002759524
16,2,4.594972986357222,10,9,0.030688539001857862
17,2,5.054470284992945,10,9,0.03095333398960065
18,2,5.55991731349224,10,9,0.031020038994029164
19,2,6.115909044841464,10,9,0.02833898999961093
20,2,6.727499949325611,10,9,0.03032820500084199
21,2,7.400249944258173,10,9,0.028080839008907788
22,2,8.14027493868399,10,9,0.030716311986907385
23,2,8.95430243255239,10,9,0.031135711004026234
24,2,9.84973267580763,10,9,0.0310916750022443
25,2,10.834705943388395,10,9,0.02862044500943739
26,2,11.918176537727234,10,9,0.02907308800786268
27,2,13.10999419149996,10,9,0.028558467005495913
28,2,14.420993610649957,10,9,0.029023060997133143
29,2,15.863092971714952,10,9,0.028527738992124796
30,2,17.44940226888645,10,9,0.03153492898854893
31,2,19.194342495775096,10,9,0.02893924199452158
32,2,21.113776745352606,10,9,0.03154034000181127
33,2,23.22515441988787,10,9,0.02833895999356173
34,2,25.54766986187666,10,9,0.029069829994114116
35,2,28.10243684806433,10,9,0.029811792002874427
